,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
MVCFIREHMMCI1,FIRE|MVC|HM|MULT|ALS1,MVCFIREHMMCI1,"MOTOR VEHICLE COLLISION WITH FIRE, HAZ MAT, AND MULTIPLE PATIENTS, A-L-S ONE",2,1,1,1,1,,,,,,,,,1,,,,,,,,
MVCFIREHMMCI2,FIRE|MVC|HM|MULT|ALS2,MVCFIREHMMCI2,"MOTOR VEHICLE COLLISION WITH FIRE, HAZ MAT, AND MULTIPLE PATIENTS, A-L-S TWO",2,1,1,1,1,1,,,,,,,,1,,,,,,,,
MVCFIREHMMCIB,FIRE|MVC|HM|MULT|BLS,MVCFIREHMMCIB,"MOTOR VEHICLE COLLISION WITH FIRE, HAZ MAT, AND MULTIPLE PATIENTS, B-L-S",2,1,1,,2,,,,,,,,,1,,,,,,,,
MVCFIREHM1,FIRE|MVC|HM|PED|ALS1,MVCFIREHM1,"MOTOR VEHICLE COLLISION INVOLVING A PEDESTRIAN WITH FIRE AND HAZ MAT, A-L-S ONE",2,1,,1,,,,,,,,,,1,,,,,,,,
MVCFIREHM2,FIRE|MVC|HM|PED|ALS2,MVCFIREHM2,"MOTOR VEHICLE COLLISION INVOLVING A PEDESTRIAN WITH FIRE AND HAZ MAT, A-L-S TWO",2,1,,1,,1,,,,,,,,1,,,,,,,,
MVCFIREHMB,FIRE|MVC|HM|PED|BLS,MVCFIREHMB,"MOTOR VEHICLE COLLISION INVOLVING A PEDESTRIAN WITH FIRE AND HAZ MAT, B-L-S",2,1,,,1,,,,,,,,,1,,,,,,,,
HMFULL,FIRE|MVC|HM|STRUC|ALS1,HMFULL,"BUILDING FIRE WITH HAZ MAT, A-L-S ONE",3,1,1,1,1,,,,,,,,,2,,,,,,1,,
HMFULL,FIRE|MVC|HM|STRUC|ALS2,HMFULL,"BUILDING FIRE WITH HAZ MAT, A-L-S TWO",3,1,1,2,,1,,,,,,,,2,,,,,,1,,
HMFULL,FIRE|MVC|HM|STRUC|BLS,HMFULL,"BUILDING FIRE WITH HAZ MAT, B-L-S",3,1,1,,2,,,,,,,,,2,,,,,,1,,
MVCFIREMECH1,FIRE|MVC|MECH|ALS1,MVCFIREMECH1,"MOTOR VEHICLE COLLISION WITH HIGH MECHANISM AND FIRE, A-L-S ONE",2,,1,1,1,,,,,,,,,,,,,,,,,
MVCFIREMECH2,FIRE|MVC|MECH|ALS2,MVCFIREMECH2,"MOTOR VEHICLE COLLISION WITH HIGH MECHANISM AND FIRE, A-L-S TWO",2,,1,2,,1,,,,,,,,,,,,,,,,
MVCFIREMECHB,FIRE|MVC|MECH|BLS,MVCFIREMECHB,"MOTOR VEHICLE COLLISION WITH HIGH MECHANISM AND FIRE, B-L-S",2,,1,,2,,,,,,,,,,,,,,,,,
MVCFIREMECHHM1,FIRE|MVC|MECH|HM|ALS1,MVCFIREMECHHM1,"MOTOR VEHICLE COLLISION WITH HIGH MECHANISM, FIRE, AND HAZ MAT, A-L-S ONE",2,,1,1,1,,,,,,,,,1,,,,,,,,
MVCFIREMECHHM2,FIRE|MVC|MECH|HM|ALS2,MVCFIREMECHHM2,"MOTOR VEHICLE COLLISION WITH HIGH MECHANISM, FIRE, AND HAZ MAT, A-L-S TWO",2,,1,2,,1,,,,,,,,1,,,,,,,,
MVCFIREMECHHMB,FIRE|MVC|MECH|HM|BLS,MVCFIREMECHHMB,"MOTOR VEHICLE COLLISION WITH HIGH MECHANISM, FIRE, AND HAZ MAT, B-L-S",2,,1,,2,,,,,,,,,1,,,,,,,,
MVCFIREMCI1,FIRE|MVC|MULT|ALS1,MVCFIREMCI1,"MOTOR VEHICLE COLLISION WITH FIRE AND MULTIPLE PATIENTS, A-L-S ONE",2,1,1,1,1,,,,,,,,,,,,,,,,,
MVCFIREMCI2,FIRE|MVC|MULT|ALS2,MVCFIREMCI2,"MOTOR VEHICLE COLLISION WITH FIRE AND MULTIPLE PATIENTS, A-L-S TWO",2,1,1,1,1,1,,,,,,,,,,,,,,,,
MVCFIREMCIB,FIRE|MVC|MULT|BLS,MVCFIREMCIB,"MOTOR VEHICLE COLLISION WITH FIRE AND MULTIPLE PATIENTS, B-L-S",2,1,1,,2,,,,,,,,,,,,,,,,,
MVCFIRE1,FIRE|MVC|PED|ALS1,MVCFIRE1,"MOTOR VEHICLE COLLISION INVOLVING A PEDESTRIAN WITH FIRE, A-L-S ONE",2,1,,1,,,,,,,,,,,,,,,,,,
MVCFIRE2,FIRE|MVC|PED|ALS2,MVCFIRE2,"MOTOR VEHICLE COLLISION INVOLVING A PEDESTRIAN WITH FIRE, A-L-S TWO",2,1,,1,,1,,,,,,,,,,,,,,,,
MVCFIREB,FIRE|MVC|PED|BLS,MVCFIREB,"MOTOR VEHICLE COLLISION INVOLVING A PEDESTRIAN WITH FIRE, B-L-S",2,1,,,1,,,,,,,,,,,,,,,,,
MVCFIREROLL1,FIRE|MVC|ROLL|ALS1,MVCFIREROLL1,"MOTOR VEHICLE COLLISION WITH ROLLOVER AND FIRE, A-L-S ONE",1,,1,1,1,,,,,,,,,,,,,,,,,
MVCFIREROLL2,FIRE|MVC|ROLL|ALS2,MVCFIREROLL2,"MOTOR VEHICLE COLLISION WITH ROLLOVER AND FIRE, A-L-S TWO",1,,1,2,,1,,,,,,,,,,,,,,,,
MVCFIREROLLB,FIRE|MVC|ROLL|BLS,MVCFIREROLLB,"MOTOR VEHICLE COLLISION WITH ROLLOVER AND FIRE, B-L-S",1,,1,,2,,,,,,,,,,,,,,,,,
MVCFIREROLLHM1,FIRE|MVC|ROLL|HM|ALS1,MVCFIREROLLHM1,"MOTOR VEHICLE COLLISION WITH ROLLOVER, FIRE, AND HAZ MAT, A-L-S ONE",1,,1,1,1,,,,,,,,,,,,,,,,,
MVCFIREROLLHM2,FIRE|MVC|ROLL|HM|ALS2,MVCFIREROLLHM2,"MOTOR VEHICLE COLLISION WITH ROLLOVER, FIRE, AND HAZ MAT, A-L-S TWO",1,,1,2,,1,,,,,,,,,,,,,,,,
MVCFIREROLLHMB,FIRE|MVC|ROLL|HM|BLS,MVCFIREROLLHMB,"MOTOR VEHICLE COLLISION WITH ROLLOVER, FIRE, AND HAZ MAT, B-L-S",1,,1,,2,,,,,,,,,,,,,,,,,
FJ,FIRE|MVC|STRUC|ALS1,FJ,"BUILDING FIRE, A-L-S ONE",3,1,1,1,,,,,,,,,,,,,,,,1,,
FJ,FIRE|MVC|STRUC|ALS2,FJ,"BUILDING FIRE, A-L-S TWO",3,1,1,1,,1,,,,,,,,,,,,,,1,,
FJ,FIRE|MVC|STRUC|BLS,FJ,"BUILDING FIRE, B-L-S",3,1,1,,1,,,,,,,,,,,,,,,1,,
MVCFIRETRAP1,FIRE|MVC|TRAP|ALS1,MVCFIRETRAP1,"MOTOR VEHICLE COLLISION WITH FIRE AND ENTRAPMENT, A-L-S ONE",2,1,1,1,,,,,,,,,,,,,,,,,,
MVCFIRETRAP2,FIRE|MVC|TRAP|ALS2,MVCFIRETRAP2,"MOTOR VEHICLE COLLISION WITH FIRE AND ENTRAPMENT, A-L-S TWO",2,1,1,1,,1,,,,,,,,,,,,,,,,
MVCFIRETRAPB,FIRE|MVC|TRAP|BLS,MVCFIRETRAPB,"MOTOR VEHICLE COLLISION WITH FIRE AND ENTRAPMENT, B-L-S",2,1,1,,1,,,,,,,,,,,,,,,,,
MVCTRAP1,FIRE|MVC|TRAP|CYCLE|ALS1,MVCTRAP1,"MOTOR VEHICLE COLLISION WITH ENTRAPMENT, A-L-S ONE",1,1,1,1,,,,,,,,,,,,,,,,,,
MVCTRAP2,FIRE|MVC|TRAP|CYCLE|ALS2,MVCTRAP2,"MOTOR VEHICLE COLLISION WITH ENTRAPMENT, A-L-S TWO",1,1,1,1,,1,,,,,,,,,,,,,,,,
MVCTRAPB,FIRE|MVC|TRAP|CYCLE|BLS,MVCTRAPB,"MOTOR VEHICLE COLLISION WITH ENTRAPMENT, B-L-S",1,,1,,1,,,,,,,,,,,,,,,,,
MVCFIRETRAPHM1,FIRE|MVC|TRAP|HM|ALS1,MVCFIRETRAPHM1,"MOTOR VEHICLE COLLISION WITH FIRE, ENTRAPMENT, AND HAZ MAT, A-L-S ONE",2,1,1,1,,,,,,,,,,1,,,,,,,,
MVCFIRETRAPHM2,FIRE|MVC|TRAP|HM|ALS2,MVCFIRETRAPHM2,"MOTOR VEHICLE COLLISION WITH FIRE, ENTRAPMENT, AND HAZ MAT, A-L-S TWO",2,1,1,1,,1,,,,,,,,1,,,,,,,,
MVCFIRETRAPHMB,FIRE|MVC|TRAP|HM|BLS,MVCFIRETRAPHMB,"MOTOR VEHICLE COLLISION WITH FIRE, ENTRAPMENT, AND HAZ MAT, B-L-S",2,1,1,,1,,,,,,,,,1,,,,,,,,
MVCFRTRHMMCI1,FIRE|MVC|TRAP|HM|MULT|ALS1,MVCFRTRHMMCI1,"MOTOR VEHICLE COLLISION WITH FIRE, ENTRAPMENT, HAZ MAT, AND MULTIPLE PATIENTS, A-L-S ONE",2,1,2,,2,,,,,,,,,1,,,,,,,,
MVCFRTRHMMCI2,FIRE|MVC|TRAP|HM|MULT|ALS2,MVCFRTRHMMCI2,"MOTOR VEHICLE COLLISION WITH FIRE, ENTRAPMENT, HAZ MAT, AND MULTIPLE PATIENTS, A-L-S TWO",2,1,2,1,1,,,,,,,,,1,,,,,,,,
MVCFRTRHMMCIB,FIRE|MVC|TRAP|HM|MULT|BLS,MVCFRTRHMMCIB,"MOTOR VEHICLE COLLISION WITH FIRE, ENTRAPMENT, HAZ MAT, AND MULTIPLE PATIENTS, B-L-S",2,1,2,1,1,1,,,,,,,,1,,,,,,,,
HMFULL,FIRE|MVC|TRAP|HM|STRUC|ALS1,HMFULL,"BUILDING FIRE WITH ENTRAPMENT AND HAZ MAT, A-L-S ONE",3,1,1,1,1,,,,,,,,,2,,,,,,1,,
HMFULL,FIRE|MVC|TRAP|HM|STRUC|ALS2,HMFULL,"BUILDING FIRE WITH ENTRAPMENT AND HAZ MAT, A-L-S TWO",3,1,1,2,,1,,,,,,,,2,,,,,,1,,
HMFULL,FIRE|MVC|TRAP|HM|STRUC|BLS,HMFULL,"BUILDING FIRE WITH ENTRAPMENT AND HAZ MAT, B-L-S",3,1,1,,2,,,,,,,,,2,,,,,,1,,
MVCFIREMCI1,FIRE|MVC|TRAP|MULT|ALS1,MVCFIREMCI1,"MOTOR VEHICLE COLLISION WITH FIRE, ENTRAPMENT, AND MULTIPLE PATIENTS, A-L-S ONE",2,1,1,1,1,,,,,,,,,,,,,,,,,
MVCFIREMCI2,FIRE|MVC|TRAP|MULT|ALS2,MVCFIREMCI2,"MOTOR VEHICLE COLLISION WITH FIRE, ENTRAPMENT, AND MULTIPLE PATIENTS, A-L-S TWO",2,1,1,1,1,1,,,,,,,,,,,,,,,,
MVCFIREMCIB,FIRE|MVC|TRAP|MULT|BLS,MVCFIREMCIB,"MOTOR VEHICLE COLLISION WITH FIRE, ENTRAPMENT, AND MULTIPLE PATIENTS, B-L-S",2,1,1,,2,,,,,,,,,,,,,,,,,
MVCTRAP1,FIRE|MVC|TRAP|PED|ALS1,MVCTRAP1,"MOTOR VEHICLE COLLISION INVOLVING A PEDESTRIAN WITH ENTRAPMENT, A-L-S ONE",1,1,1,1,,,,,,,,,,,,,,,,,,
MVCTRAP2,FIRE|MVC|TRAP|PED|ALS2,MVCTRAP2,"MOTOR VEHICLE COLLISION INVOLVING A PEDESTRIAN WITH ENTRAPMENT, A-L-S TWO",1,1,1,1,,1,,,,,,,,,,,,,,,,
MVCTRAPB,FIRE|MVC|TRAP|PED|BLS,MVCTRAPB,"MOTOR VEHICLE COLLISION INVOLVING A PEDESTRIAN WITH ENTRAPMENT, B-L-S",1,,1,,1,,,,,,,,,,,,,,,,,
FJ,FIRE|MVC|TRAP|STRUC|ALS1,FJ,"BUILDING FIRE WITH ENTRAPMENT, A-L-S ONE",3,1,1,1,,,,,,,,,,,,,,,,1,,
FJ,FIRE|MVC|TRAP|STRUC|ALS2,FJ,"BUILDING FIRE WITH ENTRAPMENT, A-L-S TWO",3,1,1,1,,1,,,,,,,,,,,,,,1,,
FJ,FIRE|MVC|TRAP|STRUC|BLS,FJ,"BUILDING FIRE WITH ENTRAPMENT, B-L-S",3,1,1,,1,,,,,,,,,,,,,,,1,,
FW,FIRE|OUT,FW,EXTINGUISHED FIRE,2,1,,,1,,,,,,,,,,,,,,,1,,
SE,FIRE|OUT,SE,EXTINGUISHED FIRE,1,,,,,,,,,,,,,,,,,,,,,
FW1,FIRE|OUT|ALS1,FW1,"EXTINGUISHED FIRE, A-L-S ONE",2,1,,1,,,,,,,,,,,,,,,,1,,
FW2,FIRE|OUT|ALS2,FW2,"EXTINGUISHED FIRE, A-L-S TWO",2,1,,1,,1,,,,,,,,,,,,,,1,,
FWB,FIRE|OUT|BLS,FWB,"EXTINGUISHED FIRE, B-L-S",2,1,,,1,,,,,,,,,,,,,,,1,,
FWH,FIRE|OUT|HM,FWH,EXTINGUISHED FIRE WITH HAZ MAT,2,1,,,,,,,,,,,,1,,,,,,1,,
HMADAPT,FIRE|OUT|HM,HMADAPT,EXTINGUISHED FIRE WITH HAZ MAT,2,1,,2,,,,,,,,,,1,,,,,,1,,
FWH1,FIRE|OUT|HM|ALS1,FWH1,"EXTINGUISHED FIRE WITH HAZ MAT, A-L-S ONE",2,1,,1,,,,,,,,,,1,,,,,,1,,
FWH2,FIRE|OUT|HM|ALS2,FWH2,"EXTINGUISHED FIRE WITH HAZ MAT, A-L-S TWO",2,1,,1,,1,,,,,,,,1,,,,,,1,,
FWHB,FIRE|OUT|HM|BLS,FWHB,"EXTINGUISHED FIRE WITH HAZ MAT, B-L-S",2,1,,,1,,,,,,,,,1,,,,,,1,,
FWHM,FIRE|OUT|HM|MULT,FWHM,EXTINGUISHED FIRE WITH HAZ MAT AND MULTIPLE PATIENTS,2,1,,2,,1,,,,,,,,1,,,,,,1,,
FWM,FIRE|OUT|MULT,FWM,EXTINGUISHED FIRE WITH MULTIPLE PATIENTS,2,1,,2,,1,,,,,,,,,,,,,,1,,
FWT,FIRE|OUT|TRAP,FWT,EXTINGUISHED FIRE WITH ENTRAPMENT,2,1,1,,,,,,,,,,,,,,,,,1,,
FWT1,FIRE|OUT|TRAP|ALS1,FWT1,"EXTINGUISHED FIRE WITH ENTRAPMENT, A-L-S ONE",2,1,1,1,,,,,,,,,,,,,,,,1,,
FWT2,FIRE|OUT|TRAP|ALS2,FWT2,"EXTINGUISHED FIRE WITH ENTRAPMENT, A-L-S TWO",2,1,1,1,,1,,,,,,,,,,,,,,1,,
FWTB,FIRE|OUT|TRAP|BLS,FWTB,"EXTINGUISHED FIRE WITH ENTRAPMENT, B-L-S",2,1,1,,1,,,,,,,,,,,,,,,1,,
FWTH,FIRE|OUT|TRAP|HM,FWTH,EXTINGUISHED FIRE WITH ENTRAPMENT AND HAZ MAT,2,1,1,,,,,,,,,,,1,,,,,,1,,
FWTH1,FIRE|OUT|TRAP|HM|ALS1,FWTH1,"EXTINGUISHED FIRE WITH ENTRAPMENT AND HAZ MAT, A-L-S ONE",2,1,1,1,,,,,,,,,,1,,,,,,1,,
FWTH2,FIRE|OUT|TRAP|HM|ALS2,FWTH2,"EXTINGUISHED FIRE WITH ENTRAPMENT AND HAZ MAT, A-L-S TWO",2,1,1,1,,1,,,,,,,,1,,,,,,1,,
FWTHB,FIRE|OUT|TRAP|HM|BLS,FWTHB,"EXTINGUISHED FIRE WITH ENTRAPMENT AND HAZ MAT, B-L-S",2,1,1,,1,,,,,,,,,1,,,,,,1,,
SE,FIRE|OUTSIDE,SE,OUTSIDE FIRE,1,,,,,,,,,,,,,,,,,,,,,
FE,FIRE|OUTSIDE|ADAPT,FE,"OUTSIDE FIRE, ADAPTIVE RESPONSE",2,1,,,,,,,,,,,,,,,,,,,,
FF,FIRE|OUTSIDE|ADAPT|BLS,FF,"OUTSIDE FIRE, ADAPTIVE RESPONSE, B-L-S",2,1,,,1,,,,,,,,,,,,,,,,,
FF,FIRE|OUTSIDE|ADAPTM,FF,"OUTSIDE FIRE, ADAPTIVE RESPONSEM",2,1,,1,1,,,,,,,,,,,,,,,,,
FC,FIRE|OUTSIDE|BLS,FC,"OUTSIDE FIRE, B-L-S",1,,,1,,,,,,,,,,,,,,,,,,
HMADAPT,FIRE|OUTSIDE|HM,HMADAPT,OUTSIDE FIRE WITH HAZ MAT,2,1,,2,,,,,,,,,,1,,,,,,1,,
FDMULTP,FIRE|OUTSIDE|MULT,FDMULTP,OUTSIDE FIRE WITH MULTIPLE PATIENTS,2,1,,1,1,,,,,,,,,,,,,,,,,
SE,FIRE|OUTSIDE|ROUTINE,SE,"OUTSIDE FIRE, ROUTINE",1,,,,,,,,,,,,,,,,,,,,,
FD,FIRE|OUTSIDE|Z,FD,OUTSIDE FIRE,1,1,,,,,,,,,,,,,,,,,,,,
SE,FIRE|PDC,SE,PROPERTY DAMAGE COLLISION WITH FIRE,1,,,,,,,,,,,,,,,,,,,,,
FY,FIRE|PERSON,FY,PERSON ON FIRE,3,1,1,2,,,,,,,,,,,,,,,,1,,
FY1,FIRE|PERSON|ALS1,FY1,"PERSON ON FIRE, A-L-S ONE",3,1,1,2,,,,,,,,,,,,,,,,1,,
FY2,FIRE|PERSON|ALS2,FY2,"PERSON ON FIRE, A-L-S TWO",3,1,1,2,,1,,,,,,,,,,,,,,1,,
FYB,FIRE|PERSON|BLS,FYB,"PERSON ON FIRE, B-L-S",3,1,1,1,1,,,,,,,,,,,,,,,1,,
FYH,FIRE|PERSON|HM,FYH,PERSON ON FIRE WITH HAZ MAT,3,1,1,2,,1,,,,,,,,2,,,,,,1,,
FYH1,FIRE|PERSON|HM|ALS1,FYH1,"PERSON ON FIRE WITH HAZ MAT, A-L-S ONE",3,1,1,2,,,,,,,,,,2,,,,,,1,,
FYH2,FIRE|PERSON|HM|ALS2,FYH2,"PERSON ON FIRE WITH HAZ MAT, A-L-S TWO",3,1,1,2,,1,,,,,,,,2,,,,,,1,,
FYHB,FIRE|PERSON|HM|BLS,FYHB,"PERSON ON FIRE WITH HAZ MAT, B-L-S",3,1,1,1,1,,,,,,,,,2,,,,,,1,,
FYT,FIRE|PERSON|TRAP,FYT,PERSON ON FIRE WITH ENTRAPMENT,3,1,1,2,,1,,,,,,,,,,,,,,1,,
FYT1,FIRE|PERSON|TRAP|ALS1,FYT1,"PERSON ON FIRE WITH ENTRAPMENT, A-L-S ONE",3,1,1,2,,,,,,,,,,,,,,,,1,,
FYT2,FIRE|PERSON|TRAP|ALS2,FYT2,"PERSON ON FIRE WITH ENTRAPMENT, A-L-S TWO",3,1,1,2,,1,,,,,,,,,,,,,,1,,
FYTB,FIRE|PERSON|TRAP|BLS,FYTB,"PERSON ON FIRE WITH ENTRAPMENT, B-L-S",3,1,1,1,1,,,,,,,,,,,,,,,1,,
FYTH,FIRE|PERSON|TRAP|HM,FYTH,PERSON ON FIRE WITH ENTRAPMENT AND HAZ MAT,3,1,1,2,,1,,,,,,,,2,,,,,,1,,
FYTH1,FIRE|PERSON|TRAP|HM|ALS1,FYTH1,"PERSON ON FIRE WITH ENTRAPMENT AND HAZ MAT, A-L-S ONE",3,1,1,2,,,,,,,,,,2,,,,,,1,,
FYTH2,FIRE|PERSON|TRAP|HM|ALS2,FYTH2,"PERSON ON FIRE WITH ENTRAPMENT AND HAZ MAT, A-L-S TWO",3,1,1,2,,1,,,,,,,,2,,,,,,1,,
FYTHB,FIRE|PERSON|TRAP|HM|BLS,FYTHB,"PERSON ON FIRE WITH ENTRAPMENT AND HAZ MAT, B-L-S",3,1,1,1,1,,,,,,,,,2,,,,,,1,,
FP,FIRE|PKG,FP,PARKING GARAGE FIRE,3,1,1,1,,,,,,,,,,,,,,,,1,,
FP1,FIRE|PKG|ALS1,FP1,"PARKING GARAGE FIRE, A-L-S ONE",3,1,1,1,,,,,,,,,,,,,,,,1,,
FP2,FIRE|PKG|ALS2,FP2,"PARKING GARAGE FIRE, A-L-S TWO",3,1,1,1,,1,,,,,,,,,,,,,,1,,
FPB,FIRE|PKG|BLS,FPB,"PARKING GARAGE FIRE, B-L-S",3,1,1,,1,,,,,,,,,,,,,,,1,,
FPH,FIRE|PKG|HM,FPH,PARKING GARAGE FIRE WITH HAZ MAT,3,1,1,1,,,,,,,,,,2,,,,,,1,,
FPH1,FIRE|PKG|HM|ALS1,FPH1,"PARKING GARAGE FIRE WITH HAZ MAT, A-L-S ONE",3,1,1,1,,,,,,,,,,2,,,,,,1,,
FPH2,FIRE|PKG|HM|ALS2,FPH2,"PARKING GARAGE FIRE WITH HAZ MAT, A-L-S TWO",3,1,1,1,,1,,,,,,,,2,,,,,,1,,
FPHB,FIRE|PKG|HM|BLS,FPHB,"PARKING GARAGE FIRE WITH HAZ MAT, B-L-S",3,1,1,,1,,,,,,,,,2,,,,,,1,,
FPHM,FIRE|PKG|HM|MULT,FPHM,PARKING GARAGE FIRE WITH HAZ MAT AND MULTIPLE PATIENTS,3,1,1,2,,1,,,,,,,,2,,,,,,1,,
FPM,FIRE|PKG|MULT,FPM,PARKING GARAGE FIRE WITH MULTIPLE PATIENTS,3,1,1,2,,1,,,,,,,,,,,,,,1,,
FPT,FIRE|PKG|TRAP,FPT,PARKING GARAGE FIRE WITH ENTRAPMENT,3,1,1,2,,,,,,,,,,,,,,,,1,,
FPT1,FIRE|PKG|TRAP|ALS1,FPT1,"PARKING GARAGE FIRE WITH ENTRAPMENT, A-L-S ONE",3,1,1,2,,,,,,,,,,,,,,,,1,,
FPT2,FIRE|PKG|TRAP|ALS2,FPT2,"PARKING GARAGE FIRE WITH ENTRAPMENT, A-L-S TWO",3,1,1,2,,1,,,,,,,,,,,,,,1,,
FPTB,FIRE|PKG|TRAP|BLS,FPTB,"PARKING GARAGE FIRE WITH ENTRAPMENT, B-L-S",3,1,1,1,1,,,,,,,,,,,,,,,1,,
FPTH,FIRE|PKG|TRAP|HM,FPTH,PARKING GARAGE FIRE WITH ENTRAPMENT AND HAZ MAT,3,1,1,2,,,,,,,,,,2,,,,,,1,,
FPTH1,FIRE|PKG|TRAP|HM|ALS1,FPTH1,"PARKING GARAGE FIRE WITH ENTRAPMENT AND HAZ MAT, A-L-S ONE",3,1,1,2,,,,,,,,,,2,,,,,,1,,
FPTH2,FIRE|PKG|TRAP|HM|ALS2,FPTH2,"PARKING GARAGE FIRE WITH ENTRAPMENT AND HAZ MAT, A-L-S TWO",3,1,1,2,,1,,,,,,,,2,,,,,,1,,
FPTHB,FIRE|PKG|TRAP|HM|BLS,FPTHB,"PARKING GARAGE FIRE WITH ENTRAPMENT AND HAZ MAT, B-L-S",3,1,1,1,1,,,,,,,,,2,,,,,,1,,
FS,FIRE|SMALL,FS,SMALL STRUCTURE FIRE,2,1,,,,,,,,,,,,,,,,,,,,
FS1,FIRE|SMALL|ALS1,FS1,"SMALL STRUCTURE FIRE, A-L-S ONE",2,1,,1,,,,,,,,,,,,,,,,,,
FS2,FIRE|SMALL|ALS2,FS2,"SMALL STRUCTURE FIRE, A-L-S TWO",2,1,,1,,1,,,,,,,,,,,,,,,,
FSB,FIRE|SMALL|BLS,FSB,"SMALL STRUCTURE FIRE, B-L-S",2,1,,,1,,,,,,,,,,,,,,,,,
FSH,FIRE|SMALL|HM,FSH,SMALL STRUCTURE FIRE WITH HAZ MAT,2,1,,,,,,,,,,,,1,,,,,,,,
FSH1,FIRE|SMALL|HM|ALS1,FSH1,"SMALL STRUCTURE FIRE WITH HAZ MAT, A-L-S ONE",2,1,,1,,,,,,,,,,1,,,,,,,,
FSH2,FIRE|SMALL|HM|ALS2,FSH2,"SMALL STRUCTURE FIRE WITH HAZ MAT, A-L-S TWO",2,1,,1,,1,,,,,,,,1,,,,,,,,
FSHB,FIRE|SMALL|HM|BLS,FSHB,"SMALL STRUCTURE FIRE WITH HAZ MAT, B-L-S",2,1,,,1,,,,,,,,,1,,,,,,,,
FSHM,FIRE|SMALL|HM|MULT,FSHM,SMALL STRUCTURE FIRE WITH HAZ MAT AND MULTIPLE PATIENTS,2,1,,2,,1,,,,,,,,1,,,,,,,,
FSM,FIRE|SMALL|MULT,FSM,SMALL STRUCTURE FIRE WITH MULTIPLE PATIENTS,2,1,,2,,1,,,,,,,,,,,,,,,,
FST,FIRE|SMALL|TRAP,FST,SMALL STRUCTURE FIRE WITH ENTRAPMENT,2,1,1,,,,,,,,,,,,,,,,,,,
FST1,FIRE|SMALL|TRAP|ALS1,FST1,"SMALL STRUCTURE FIRE WITH ENTRAPMENT, A-L-S ONE",2,1,1,1,,,,,,,,,,,,,,,,,,
FST2,FIRE|SMALL|TRAP|ALS2,FST2,"SMALL STRUCTURE FIRE WITH ENTRAPMENT, A-L-S TWO",2,1,1,1,,1,,,,,,,,,,,,,,,,
FSTB,FIRE|SMALL|TRAP|BLS,FSTB,"SMALL STRUCTURE FIRE WITH ENTRAPMENT, B-L-S",2,1,1,,1,,,,,,,,,,,,,,,,,
FSTH,FIRE|SMALL|TRAP|HM,FSTH,SMALL STRUCTURE FIRE WITH ENTRAPMENT AND HAZ MAT,2,1,1,,,,,,,,,,,1,,,,,,,,
FSTH1,FIRE|SMALL|TRAP|HM|ALS1,FSTH1,"SMALL STRUCTURE FIRE WITH ENTRAPMENT AND HAZ MAT, A-L-S ONE",2,1,1,1,,,,,,,,,,1,,,,,,,,
FSTH2,FIRE|SMALL|TRAP|HM|ALS2,FSTH2,"SMALL STRUCTURE FIRE WITH ENTRAPMENT AND HAZ MAT, A-L-S TWO",2,1,1,1,,1,,,,,,,,1,,,,,,,,
FSTHB,FIRE|SMALL|TRAP|HM|BLS,FSTHB,"SMALL STRUCTURE FIRE WITH ENTRAPMENT AND HAZ MAT, B-L-S",2,1,1,,1,,,,,,,,,1,,,,,,,,
HMADAPTFMO,FIRE|SMALLSTRUC|EXPL,HMADAPTFMO,SMALL BUILDING FIRE WITH EXPLOSION,2,1,,2,,,,,,,,,,1,,,,,,1,1,
GASFULL,FIRE|TANK|LARGE,GASFULL,LARGE TANK FIRE,3,1,1,1,,,,,,,,,,1,,,,,,1,,
SE,FIRE|TANK|OUT,SE,EXTINGUISHED TANK FIRE,1,,,,,,,,,,,,,,,,,,,,,
FC,FIRE|TANK|OUT|BLS,FC,"EXTINGUISHED TANK FIRE, B-L-S",1,,,1,,,,,,,,,,,,,,,,,,
FX,FIRE|TANK|OUT|MULT,FX,EXTINGUISHED TANK FIRE WITH MULTIPLE PATIENTS,1,,,1,1,1,,,,,,,,,,,,,,,,
SE,FIRE|TANK|SMALL,SE,SMALL TANK FIRE,1,,,,,,,,,,,,,,,,,,,,,
FX,FIRE|TANK|SMALL|MULT,FX,SMALL TANK FIRE WITH MULTIPLE PATIENTS,1,,,1,1,1,,,,,,,,,,,,,,,,
FC,FIRE|TANK|SMALL|MULT|BLS,FC,"SMALL TANK FIRE WITH MULTIPLE PATIENTS, B-L-S",1,,,1,,,,,,,,,,,,,,,,,,
FF,FIRE|TANK|SMALL|MULT|BLS,FF,"SMALL TANK FIRE WITH MULTIPLE PATIENTS, B-L-S",2,1,,,1,,,,,,,,,,,,,,,,,
HMADAPT,FIRE|TANK|SMALL|MULT|HM,HMADAPT,SMALL TANK FIRE WITH MULTIPLE PATIENTS AND HAZ MAT,2,1,,2,,,,,,,,,,1,,,,,,1,,
FE,FIRE|TANK|STRUC,FE,TANK FIRE THREATENING A BUILDING,2,1,,,,,,,,,,,,,,,,,,,,
TRF,FIRE|TRAIN,TRF,TRAIN FIRE,3,1,1,4,,1,,,,,,,,1,1,,,,,1,,
FTRA,FIRE|TRANSFORMER,FTRA,TRANSFORMER FIRE,1,,,,,,,,,,,,,,,,,,,,,
